province,points
New York,81
California,81
Bordeaux,81
California,81
New York,81
Catalonia,81
California,81
Bordeaux,81
California,81
Catalonia,81
California,81
Mendoza Province,81
California,81
Washington,81
Mendoza Province,81
California,81
Colchagua Valley,81
Central Valley,81
Colchagua Valley,81
Northern Spain,81
Ica,81
Northern Spain,81
Vale dos Vinhedos,81
California,81
Northern Spain,81
California,81
Northern Spain,81
Central Spain,81
Mendoza Province,81
Washington,81
Veneto,81
Catalonia,81
Washington,81
Mendoza Province,81
Northern Spain,81
Chile,81
Northern Spain,81
Leyda Valley,81
Maipo Valley,81
California,81
Languedoc-Roussillon,81
New York,81
California,81
Northern Spain,81
Australia Other,81
California,81
Australia Other,81
California,81
Northern Spain,81
Mendoza Province,81
Limarí Valley,81
California,81
Cachapoal Valley,81
Other,81
California,81
Virginia,81
North Carolina,81
Virginia,81
California,81
Virginia,81
Mendoza Province,81
Virginia,81
Mendoza Province,81
Loire Valley,81
North Carolina,81
Northern Spain,81
Oregon,81
Virginia,81
Central Spain,81
Northern Spain,81
South Australia,81
California,81
New Mexico,81
California,81
Southern Italy,81
Catalonia,81
Oregon,81
New York,81
Oregon,81
Washington,81
Northern Spain,81
Virginia,81
Central Spain,81
Northern Spain,81
California,81
Mendoza Province,81
Levante,81
Galicia,81
Northern Spain,81
California,81
Marlborough,81
California,81
Mendoza Province,81
Victoria,81
California,81
Colchagua Valley,81
Australia Other,81
Other,81
Eger,81
California,81
Virginia,81
New York,81
Casablanca Valley,81
Central Valley,81
California,81
Molina,81
California,81
Northern Spain,81
California,81
Mendoza Province,81
Northern Spain,81
Bordeaux,81
Washington,81
Central Spain,81
Other,81
Canelones,81
Northern Spain,81
Mendoza Province,81
California,81
Mendoza Province,81
Tuscany,81
Bordeaux,81
Tuscany,81
New York,81
Bordeaux,81
Catalonia,81
Spain Other,81
Virginia,81
Mendoza Province,81
Northern Spain,81
Mendoza Province,81
California,81
Mendoza Province,81
South Australia,81
Northern Spain,81
California,81
Other,81
Mendoza Province,81
California,81
Alentejano,81
Upper Galilee,81
Central Spain,81
California,81
Elqui Valley,81
Bordeaux,81
Other,81
Levante,81
Tejo,81
California,81
Levante,81
Northern Spain,81
Southern Italy,81
California,81
Oregon,81
California,81
Maipo Valley,81
California,81
Central Valley,81
Colchagua Valley,81
Maule Valley,81
California,81
Central Valley,81
California,81
Washington,81
Mendoza Province,81
California,81
Mendoza Province,81
Australia Other,81
South Australia,81
California,81
Veneto,81
California,81
Washington,81
California,81
Oregon,81
California,81
Northern Spain,81
Oregon,81
California,81
Oregon,81
California,81
Oregon,81
New York,81
Northern Spain,81
Mendoza Province,81
Tuscany,81
Mendoza Province,81
Northern Spain,81
Bordeaux,81
California,81
Mendoza Province,81
Central Spain,81
Galicia,81
Northern Spain,81
Galicia,81
Franken,81
Casablanca Valley,81
California,81
Southern Italy,81
California,81
Kumeu,81
Southern Italy,81
Rapel Valley,81
Maule Valley,81
Casablanca Valley,81
California,81
Mendoza Province,81
California,81
Mendoza Province,81
California,81
Washington,81
California,81
Washington,81
Maipo Valley,81
Rapel Valley,81
Maipo Valley,81
France Other,81
California,81
Other,81
California,81
France Other,81
Mendoza Province,81
France Other,81
Northern Spain,81
Catalonia,81
California,81
Maule Valley,81
California,81
Texas,81
Vinho Verde,81
Mendoza Province,81
Vinho Verde,81
Mendoza Province,81
Virginia,81
Other,81
Mendoza Province,81
Texas,81
California,81
Maipo Valley,81
California,81
Ica,81
Northern Spain,81
Australia Other,81
South Australia,81
Galicia,81
California,81
Northern Spain,81
Mendoza Province,81
Levante,81
Northern Spain,81
California,81
Central Spain,81
California,81
Northern Spain,81
Catalonia,81
Northern Spain,81
California,81
Northern Spain,81
California,81
Northern Spain,81
Rapel Valley,81
California,81
Colchagua Valley,81
California,81
Tejo,81
Oregon,81
California,81
Uruguay,81
Douro,81
Vale Trentino,81
California,81
Tuscany,81
Other,81
California,81
Mendoza Province,81
Other,81
Victoria,81
California,81
Bordeaux,81
Catalonia,81
Mendoza Province,81
Bordeaux,81
Mendoza Province,81
California,81
Northern Spain,81
Bordeaux,81
California,81
Other,81
California,81
Mendoza Province,81
Bordeaux,81
California,81
Bordeaux,81
Languedoc-Roussillon,81
California,81
Provence,81
California,81
Rhône Valley,81
Languedoc-Roussillon,81
Marlborough,81
California,81
Maipo Valley,81
California,81
Central Spain,81
California,81
Virginia,81
Oregon,81
California,81
Cachapoal Valley,81
Maule Valley,81
California,81
Sicily & Sardinia,81
California,81
Southern Italy,81
Colchagua Valley,81
California,81
Washington,81
California,81
Central Spain,81
California,81
Bordeaux,81
California,81
Leyda Valley,81
Central Valley,81
Colchagua Valley,81
California,81
Australia Other,81
Iowa,81
New York,81
California,81
Missouri,81
New York,81
South Australia,81
Mendoza Province,81
New York,81
California,81
Maipo Valley,81
Curicó Valley,81
Maule Valley,81
Washington,81
Mendoza Province,81
California,81
Mendoza Province,81
Missouri,81
California,81
Washington,81
Central Valley,81
California,81
Leyda Valley,81
California,81
Maule Valley,81
Casablanca Valley,81
California,81
Lombardy,81
New York,81
California,81
Istria,81
Mendoza Province,81
California,81
Oregon,81
California,81
Southern Italy,81
California,81
Other,81
Virginia,81
Central Spain,81
Veneto,81
California,81
Mendoza Province,81
California,81
Other,81
Tejo,81
California,81
Central Valley,81
California,81
Maipo Valley,81
California,81
Central Valley,81
Leyda Valley,81
Maule Valley,81
Central Valley,81
Northern Spain,81
California,81
Northern Spain,81
Colchagua Valley,81
California,81
Mendoza Province,81
Lisboa,81
Mendoza Province,81
Curicó Valley,81
Chile,81
Maule Valley,81
Central Valley,81
Tuscany,81
California,81
Mendoza Province,81
Central Valley,81
Maule Valley,81
Loire Valley,81
Rapel Valley,81
Maipo Valley,81
California,81
Other,81
Mendoza Province,81
California,81
Mendoza Province,81
California,81
Mendoza Province,81
California,81
Northern Spain,81
California,81
Mendoza Province,81
Other,81
New York,81
Northeastern Italy,81
California,81
New York,81
California,81
Oregon,81
Northern Spain,81
California,81
Virginia,81
California,81
Casablanca Valley,81
Valle de Guadalupe,81
California,81
France Other,81
California,81
Maule Valley,81
California,81
Central Valley,81
California,81
Maule Valley,81
California,81
Maipo Valley,81
Spain Other,81
California,81
Washington,81
California,81
Washington,81
California,81
Northern Spain,81
Mendoza Province,81
Sicily & Sardinia,81
California,81
Northern Spain,81
California,81
Colchagua Valley,81
Northern Spain,81
California,81
Central Spain,81
Mendoza Province,81
Northern Spain,81
Mendoza Province,81
California,81
Other,81
California,81
Mendoza Province,81
California,81
Mendoza Province,81
California,81
Northern Spain,81
California,81
Central Spain,81
Mendoza Province,81
California,81
Central Spain,81
Catalonia,81
California,81
Missouri,81
Burgundy,81
Central Spain,81
Mendoza Province,81
Levante,81
Mendoza Province,81
California,81
Catalonia,81
California,81
Other,81
Mendoza Province,81
Northern Spain,81
Mendoza Province,81
Veneto,81
California,81
Casablanca Valley,81
California,81
Casablanca Valley,81
California,81
Colchagua Valley,81
Oregon,81
California,81
Maipo Valley,81
New York,81
Virginia,81
Provence,82
Catalonia,82
Alsace,82
California,82
Catalonia,82
California,82
Oregon,82
California,82
Maipo Valley,82
Central Valley,82
Minho,82
California,82
Colchagua Valley,82
California,82
Oregon,82
Leyda Valley,82
Central Valley,82
California,82
Central Valley,82
California,82
Northern Spain,82
California,82
Northeastern Italy,82
California,82
Central Italy,82
California,82
Bordeaux,82
Central Italy,82
Catalonia,82
California,82
Northern Spain,82
Casablanca Valley,82
Northern Spain,82
Central Valley,82
Colchagua Valley,82
Catalonia,82
Colchagua Valley,82
Oregon,82
California,82
Maule Valley,82
California,82
Northern Spain,82
Cachapoal Valley,82
Central Spain,82
Northern Spain,82
Mendoza Province,82
Oregon,82
California,82
Mendoza Province,82
California,82
Oregon,82
California,82
Galicia,82
Levante,82
Other,82
Oregon,82
Washington,82
Spain Other,82
Piedmont,82
Northern Spain,82
Central Italy,82
Other,82
Douro,82
Oregon,82
Douro,82
Other,82
Catalonia,82
California,82
Burgundy,82
California,82
Victoria,82
California,82
Washington,82
California,82
Limarí Valley,82
California,82
Mendoza Province,82
California,82
Ribatejano,82
Northern Spain,82
New York,82
California,82
New York,82
Veneto,82
Rapel Valley,82
Vinho Verde,82
Colchagua Valley,82
California,82
Missouri,82
California,82
Virginia,82
Mendoza Province,82
California,82
Northern Spain,82
California,82
Alsace,82
Paarl,82
California,82
Paarl,82
Bordeaux,82
Coastal Region,82
California,82
Other,82
,82
California,82
Mendoza Province,82
Central Spain,82
California,82
Mendoza Province,82
Bordeaux,82
France Other,82
California,82
Mendoza Province,82
Virginia,82
Northern Spain,82
Neusiedlersee,82
California,82
Northern Spain,82
California,82
Washington,82
Virginia,82
California,82
Northern Spain,82
California,82
New York,82
California,82
Mendoza Province,82
New Mexico,82
California,82
New Jersey,82
Mendoza Province,82
Washington,82
Arizona,82
Washington,82
California,82
Washington,82
California,82
Central Valley,82
San Antonio,82
Australia Other,82
Colchagua Valley,82
British Columbia,82
Southern Italy,82
Maule Valley,82
Leyda Valley,82
Casablanca Valley,82
Rapel Valley,82
California,82
Mendoza Province,82
Northern Spain,82
California,82
Central Spain,82
Vinho Espumante de Qualidade,82
Mendoza Province,82
Other,82
Washington,82
California,82
Spain Other,82
California,82
Juanico,82
San Jose,82
Northern Spain,82
California,82
Serra Gaúcha,82
Ica,82
California,82
Piedmont,82
Catalonia,82
Galicia,82
Burgundy,82
California,82
South Australia,82
Central Valley,82
California,82
Canterbury,82
Loire Valley,82
Waipara,82
Northeastern Italy,82
California,82
New York,82
California,82
Casablanca Valley,82
California,82
Galilee,82
California,82
Dão,82
Sicily & Sardinia,82
California,82
Maule Valley,82
California,82
Galicia,82
California,82
Beaujolais,82
Levante,82
Washington,82
Mendoza Province,82
California,82
Greece,82
Mendoza Province,82
Peloponnese,82
California,82
Mendoza Province,82
California,82
Mendoza Province,82
California,82
Mendoza Province,82
California,82
Central Spain,82
Galicia,82
California,82
Catalonia,82
California,82
Beaujolais,82
North Carolina,82
Mendoza Province,82
Virginia,82
Loire Valley,82
Mendoza Province,82
Northern Spain,82
California,82
Virginia,82
Vinho Verde,82
California,82
Central Italy,82
California,82
Mendoza Province,82
California,82
Central Italy,82
Spain Other,82
California,82
Valle de Guadalupe,82
California,82
Veneto,82
Other,82
Lisboa,82
California,82
Central Italy,82
California,82
Mendoza Province,82
California,82
Mendoza Province,82
Veneto,82
California,82
Piedmont,82
California,82
Valle de Guadalupe,82
Central Spain,82
Veneto,82
Oregon,82
Bordeaux,82
Virginia,82
California,82
Casablanca Valley,82
California,82
Brazil,82
California,82
Molina,82
California,82
Serra do Sudeste,82
California,82
Maule Valley,82
France Other,82
Maule Valley,82
Brazil,82
California,82
Curicó Valley,82
Serra Gaúcha,82
Oregon,82
Northern Spain,82
Juanico,82
California,82
Central Spain,82
California,82
Vinho Verde,82
Curicó Valley,82
California,82
Curicó Valley,82
Maule Valley,82
Central Valley,82
Northern Spain,82
Central Valley,82
California,82
Tejo,82
Washington,82
California,82
Veneto,82
Middle and South Dalmatia,82
Mendoza Province,82
Burgundy,82
Other,82
Mendoza Province,82
Other,82
California,82
New York,82
Burgundy,82
New York,82
Levante,82
California,82
Southern Italy,82
Casablanca Valley,82
Awatere Valley,82
Central Valley,82
California,82
Hawke's Bay,82
Central Valley,82
California,82
Northern Spain,82
California,82
Oregon,82
Washington,82
South Australia,82
Oregon,82
California,82
South Australia,82
California,82
Australia Other,82
Oregon,82
California,82
Mendoza Province,82
Northern Spain,82
Catalonia,82
Galicia,82
Mendoza Province,82
Central Spain,82
Mendoza Province,82
California,82
Northern Spain,82
California,82
Galicia,82
Mendoza Province,82
Central Spain,82
Mendoza Province,82
Virginia,82
California,82
Virginia,82
Mendoza Province,82
Other,82
Northern Spain,82
California,82
Northern Spain,82
Bordeaux,82
Virginia,82
California,82
Southern Italy,82
Northern Spain,82
Virginia,82
Alsace,82
California,82
Washington,82
Northern Spain,82
California,82
Marlborough,82
California,82
Molina,82
Washington,82
Veneto,82
California,82
Washington,82
Limarí Valley,82
Casablanca Valley,82
Washington,82
Central Valley,82
California,82
New York,82
California,82
Northern Spain,82
Catalonia,82
Port,82
California,82
Mendoza Province,82
California,82
Central Valley,82
Veneto,82
Central Valley,82
California,82
New York,82
California,82
Central Spain,82
California,82
Central Spain,82
California,82
Catalonia,82
Lisboa,82
California,82
Oregon,82
Central Spain,82
Michigan,82
Catalonia,82
Michigan,82
Catalonia,82
Washington,82
Bordeaux,82
California,82
Südsteiermark,82
Bordeaux,82
Northern Spain,82
California,82
Bordeaux,82
California,82
Washington,82
Northern Spain,82
California,82
Ukraine,82
California,82
Mendoza Province,82
Moldova,82
Ukraine,82
Other,82
Burgundy,82
Moldova,82
Progreso,82
Dealurile Munteniei,82
California,82
Maipo Valley,82
California,82
Maipo Valley,82
California,82
Bekaa Valley,82
Washington,82
Dealurile Munteniei,82
California,82
Washington,82
Lontué Valley,82
Bulgaria,82
Tuscany,82
California,82
New York,82
Alsace,82
New York,82
Shomron,82
New York,82
Tuscany,82
New York,82
Tuscany,82
New York,82
California,82
Oregon,82
California,82
Oregon,82
Northern Spain,82
California,82
New York,82
California,82
Tuscany,82
California,82
Mendoza Province,82
Washington,82
California,82
Piedmont,82
California,82
Washington,82
Mendoza Province,82
California,82
Australia Other,82
Washington,82
Catalonia,82
Piedmont,82
Mendoza Province,82
Washington,82
California,82
Galicia,82
Northern Spain,82
Central Spain,82
Northern Spain,82
California,82
Galicia,82
Northern Spain,82
New York,82
Idaho,82
California,82
Other,82
California,82
Northern Spain,82
California,82
Mendoza Province,82
California,82
Mendoza Province,82
California,82
Central Spain,82
New York,82
Mendoza Province,82
California,82
Mendoza Province,82
California,82
Washington,82
Northern Spain,82
California,82
Pennsylvania,82
California,82
Catalonia,82
California,82
Levante,82
Bordeaux,82
Levante,82
Mendoza Province,82
Stellenbosch,82
Mendoza Province,82
Northern Spain,82
California,82
Oregon,82
California,82
Oregon,82
Southwest France,82
Northern Spain,82
California,82
Oregon,82
California,82
Casablanca Valley,82
California,82
Western Australia,82
Cahul,82
California,82
Maipo Valley,82
California,82
Cyclades,82
California,82
New Mexico,82
Mendoza Province,82
California,82
Central Spain,82
California,82
Northern Spain,82
California,82
Oregon,82
California,82
Catalonia,82
California,82
Mendoza Province,82
California,82
Oregon,82
Levante,82
California,82
Central Spain,82
Oregon,82
California,82
Washington,82
Northern Spain,82
California,82
Levante,82
California,82
Northern Spain,82
California,82
Catalonia,82
Northern Spain,82
Central Spain,82
Catalonia,82
California,82
Greece,82
Australia Other,82
Washington,82
California,82
Vinho Verde,82
Northern Spain,82
California,82
Curicó Valley,82
California,82
Virginia,82
California,82
Central Valley,82
California,82
Maule Valley,82
California,82
Casablanca Valley,82
California,82
Virginia,82
California,82
Oregon,82
Molina,82
Casablanca Valley,82
Virginia,82
Maule Valley,82
Veneto,82
Rhône Valley,82
California,82
Northern Spain,82
Veneto,82
Northern Spain,82
Veneto,82
California,82
North Carolina,82
California,82
Central Valley,82
Curicó Valley,82
California,82
Limarí Valley,82
Rhône Valley,82
Maipo Valley,82
Washington,82
Veneto,82
Colorado,82
California,82
Catalonia,82
California,82
Northern Spain,82
California,82
New York,82
California,82
New York,82
Southern Italy,82
New York,82
California,82
Mendoza Province,82
Washington,82
Mendoza Province,82
California,82
Veneto,82
Burgenland,82
Kutjevo,82
Mendoza Province,82
Central Spain,82
Washington,82
California,82
Maipo Valley,82
California,82
Southwest France,82
California,82
Colchagua Valley,82
Casablanca Valley,82
Washington,82
Central Spain,82
Limarí Valley,82
Casablanca Valley,82
New York,82
Catalonia,82
Northern Spain,82
California,82
Sicily & Sardinia,82
California,82
Northern Spain,82
Washington,82
New York,82
Bordeaux,82
Virginia,82
California,82
Virginia,82
Bordeaux,82
California,82
Virginia,82
California,82
Bordeaux,82
California,82
Northern Spain,82
America,82
Bordeaux,82
Galicia,82
Loire Valley,82
California,82
Loire Valley,82
California,82
Northern Spain,82
California,82
Virginia,82
Mendoza Province,82
Arizona,82
Northern Spain,82
California,82
Rapel Valley,82
Levante,82
Curicó Valley,82
California,82
Tejo,82
Northern Spain,82
Casablanca Valley,82
California,82
Curicó Valley,82
Central Valley,82
Rio Claro,82
Lontué Valley,82
Curicó Valley,82
Casablanca Valley,82
Veneto,82
Lontué Valley,82
Veneto,82
California,82
Rio Claro,82
Mendoza Province,82
Washington,82
California,82
Northeastern Italy,82
California,82
Mendoza Province,82
California,82
Washington,82
California,82
Mendoza Province,82
California,82
Catalonia,82
California,82
Western Australia,82
Alentejano,82
Mendoza Province,82
California,82
Mendoza Province,82
California,82
Washington,82
Mendoza Province,82
Maule Valley,82
Sicily & Sardinia,82
California,82
Elqui Valley,82
Maipo Valley,82
Casablanca Valley,82
Hawke's Bay,82
California,82
Bordeaux,82
Northern Spain,82
Maule Valley,82
Bío Bío Valley,82
Colchagua Valley,82
California,82
France Other,82
Bordeaux,82
Casablanca Valley,82
Mendoza Province,82
California,82
Mendoza Province,82
France Other,82
Mendoza Province,82
California,82
Mendoza Province,82
Northern Spain,82
Mendoza Province,82
Vinho Verde,82
California,82
Catalonia,82
Champagne,82
Mendoza Province,82
Lisboa,82
Mendoza Province,82
Vinho Verde,82
Burgundy,82
Mendoza Province,82
Texas,82
Arizona,82
Virginia,82
Northern Spain,82
California,82
Veneto,82
Oregon,82
Maule Valley,82
California,82
Cachapoal Valley,82
California,82
Sicily & Sardinia,82
Maule Valley,82
California,82
Veneto,82
New York,82
California,82
Alsace,82
California,82
New York,82
Languedoc-Roussillon,82
Baden,82
New York,82
California,82
New York,82
Virginia,82
Beaujolais,82
Northern Spain,82
California,82
Northern Spain,82
California,82
New York,82
California,82
Texas,82
California,82
Maule Valley,82
Central Valley,82
Ica,82
California,82
Casablanca Valley,82
Michigan,82
Central Valley,82
Maule Valley,82
Texas,82
Valle de Guadalupe,82
New York,82
Leyda Valley,82
Central Spain,82
California,82
Australia Other,82
South Australia,82
California,82
Oregon,82
California,82
Oregon,82
Central Spain,82
Alentejo,82
Piedmont,82
America,82
Central Spain,82
California,82
Northern Spain,82
California,82
Northern Spain,82
California,82
Northern Spain,82
Bordeaux,82
California,82
Central Spain,82
California,82
Alentejano,82
Northern Spain,82
Casablanca Valley,82
California,82
Lisboa,82
California,82
Northern Spain,82
California,82
Northern Spain,82
Spanish Islands,82
Washington,82
Idaho,82
California,82
Piedmont,82
California,82
Mendoza Province,82
California,82
Piedmont,82
Pennsylvania,82
California,82
Piedmont,82
California,82
New York,82
Northern Spain,82
California,82
Uruguay,82
California,82
Washington,82
Curicó Valley,82
Douro,82
Serra Gaúcha,82
California,82
Mendoza Province,82
California,82
Central Spain,82
California,82
Mendoza Province,82
California,82
Northern Spain,82
California,82
Tuscany,82
California,82
Catalonia,82
Central Spain,82
California,82
Other,82
Galicia,82
Northern Spain,82
Central Spain,82
Vinho Verde,82
Oregon,82
California,82
Mendoza Province,82
Other,82
Burgundy,82
Mendoza Province,82
Galicia,82
Northern Spain,82
Mendoza Province,82
California,82
Bordeaux,82
California,82
Sicily & Sardinia,82
Bordeaux,82
California,82
Curicó Valley,82
Bordeaux,82
California,82
Languedoc-Roussillon,82
California,82
Languedoc-Roussillon,82
Nelson,82
Marlborough,82
Languedoc-Roussillon,82
Rhône Valley,82
Languedoc-Roussillon,82
California,82
Provence,82
California,82
Nelson,82
Languedoc-Roussillon,82
California,82
Maipo Valley,82
California,82
Maipo Valley,82
Maule Valley,82
California,82
Maipo Valley,82
California,82
Curicó Valley,82
Maipo Valley,82
California,82
Maipo Valley,82
California,82
Colchagua Valley,82
Maule Valley,82
California,82
Oregon,82
Curicó Valley,82
California,82
Virginia,82
Washington,82
Maule Valley,82
Provence,82
Catalonia,82
Northern Spain,82
Northeastern Italy,82
California,82
Northern Spain,82
California,82
Central Italy,82
Northeastern Italy,82
Levante,82
Limarí Valley,82
Curicó Valley,82
California,82
Provence,82
California,82
Bordeaux,82
Catalonia,82
Niederösterreich,82
California,82
Northern Spain,82
Bordeaux,82
California,82
Northern Spain,82
California,82
Mendoza Province,82
California,82
Northern Spain,82
California,82
Northern Spain,82
California,82
Northern Spain,82
Western Australia,82
California,82
Washington,82
California,82
Bordeaux,82
California,82
Northern Spain,82
California,82
Casablanca Valley,82
Upper Galilee,82
California,82
Valle de Guadalupe,82
California,82
Maipo Valley,82
California,82
Mendoza Province,82
Central Spain,82
Missouri,82
Levante,82
California,82
Burgundy,82
Central Spain,82
California,82
Burgundy,82
Catalonia,82
Virginia,82
Burgundy,82
Washington,82
Central Spain,82
California,82
Levante,82
California,82
Central Spain,82
California,82
Texas,82
Burgundy,82
Missouri,82
Levante,82
Central Spain,82
California,82
Australia Other,82
South Australia,82
Ontario,82
California,82
Washington,82
California,82
Oregon,82
California,82
Oregon,82
California,82
Northern Spain,82
Tejo,82
California,82
Northern Spain,82
Vinho Verde,82
Northern Spain,82
Idaho,82
Washington,82
California,82
Mendoza Province,82
Idaho,82
Northern Spain,82
California,82
Mendoza Province,82
Washington,82
Marlborough,82
California,82
Lolol Valley,82
Southern Italy,82
Leyda Valley,82
Mendoza Province,82
California,82
Missouri,82
Mendoza Province,82
California,82
Missouri,82
California,82
Spain Other,82
Mendoza Province,82
Virginia,82
Other,82
Northern Spain,82
California,82
New York,82
California,82
Colchagua Valley,82
California,82
Bío Bío Valley,82
Central Valley,82
California,82
Mittelburgenland,82
Burgenland,82
California,82
Alsace,82
California,82
Veneto,82
Sicily & Sardinia,82
Veneto,82
Mendoza Province,82
California,82
Mendoza Province,82
New South Wales,82
Central Spain,82
Languedoc-Roussillon,82
Catalonia,82
Istria,82
Loire Valley,82
Washington,82
California,82
Bekaa Valley,82
Brda,82
California,82
Victoria,82
America,82
California,82
Southern Italy,82
Bordeaux,82
Casablanca Valley,82
Colchagua Valley,82
California,82
Chile,82
Oregon,82
California,82
Central Spain,82
Northern Spain,82
Bordeaux,82
California,82
Virginia,82
Southern Italy,82
California,82
Virginia,82
Central Italy,82
Piedmont,82
California,82
Valle de Guadalupe,82
California,82
Virginia,82
California,82
Bordeaux,82
Lisboa,82
California,82
Vinho Verde,82
California,82
Mendoza Province,82
California,82
Robertson,82
California,82
Mendoza Province,82
California,82
Vinho Verde,82
Alentejano,82
California,82
Leyda Valley,82
Curicó Valley,82
Península de Setúbal,82
Maipo Valley,82
California,82
Colchagua Valley,82
California,82
Cachapoal Valley,82
Northern Spain,82
California,82
New York,82
France Other,82
California,82
Northern Spain,82
Germany,82
California,82
Northern Spain,82
California,82
New York,82
California,82
Maule Valley,82
California,82
Maipo Valley,82
Lolol Valley,82
San Antonio,82
Casablanca Valley,82
Mendoza Province,82
Oregon,82
